TIME,POWER(WATTS),CPULOAD(PERCENT),MEMUSED(MB),MEMFREE(MB)
1700658902,468,95.95,23789,349955
1700658908,470,95.89,23795,349948
1700658914,459,95.9,23792,349950
1700658919,462,95.91,23792,349950
1700658926,412,95.91,23795,349947
1700658932,453,95.92,23797,349947
1700658938,468,95.93,23793,349947
1700658944,461,95.94,23795,349946
1700658949,470,95.94,23795,349944
1700658956,464,95.95,23796,349943
1700658962,460,95.95,23798,349941
1700658968,463,95.96,23801,349936
1700658974,466,95.96,23805,349934
1700658979,463,95.96,23802,349936
1700658986,449,95.97,23803,349934
1700658992,430,95.97,23802,349934
1700658998,446,95.97,23801,349935
1700659004,470,95.98,23800,349936
1700659009,468,95.98,23800,349935
1700659016,463,95.98,23803,349932
1700659022,466,95.98,23805,349929
1700659028,464,95.98,23803,349932
1700659034,466,95.99,23805,349928
1700659039,461,95.99,23807,349928
1700659046,458,95.99,23805,349928
1700659052,435,95.99,23803,349928
1700659058,451,95.99,23804,349928
1700659064,470,95.99,23806,349926
1700659069,465,95.99,23806,349925
1700659076,467,95.99,23812,349919
1700659083,466,95.99,23810,349919
1700659089,466,95.99,23810,349919
1700659095,459,95.99,23810,349920
1700659100,465,96,23815,349915
1700659107,421,96,23817,349913
1700659113,424,96,23817,349914
1700659119,460,96,23810,349917
1700659125,468,96,23812,349915
1700659130,468,95.92,23814,349914
1700659137,468,95.92,23816,349912
1700659143,466,95.94,23817,349911
1700659149,461,95.94,23817,349912
1700659155,475,96.03,23817,349911
1700659160,467,96.02,23820,349908
1700659167,447,96.02,23815,349910
1700659173,437,96.1,23814,349910
1700659179,463,96.09,23819,349905
1700659185,476,96.08,23820,349904
1700659190,472,96.08,23824,349900
1700659197,468,96.07,23821,349902
1700659203,467,96.06,23822,349902
1700659209,469,96.05,23820,349903
1700659215,462,96.05,23823,349899
1700659220,469,96.05,23821,349901
1700659227,467,96.04,23825,349898
1700659233,439,96.12,23820,349902
1700659239,451,96.11,23819,349902
1700659245,465,96.1,23819,349902
1700659250,472,96.09,23819,349901
1700659257,473,96.08,23826,349897
1700659263,470,96.15,23824,349897
1700659269,434,96.14,23820,349901
1700659276,472,96.21,23826,349895
1700659281,467,96.19,23823,349897
1700659287,450,96.18,23824,349896
1700659294,423,96.15,23824,349895
1700659300,470,96.14,23829,349889
1700659306,469,96.13,23829,349889
1700659311,469,96.12,23831,349887
1700659317,469,96.11,23835,349885
1700659323,474,96.09,23835,349884
1700659329,463,96.08,23837,349881
1700659336,463,96.08,23838,349881
1700659341,467,96.07,23831,349886
1700659347,470,96.06,23830,349886
1700659353,467,96.05,23829,349886
1700659359,409,96.05,23829,349887
1700659365,463,96.05,23830,349885
1700659371,409,96.04,23832,349883
1700659377,467,96.04,23839,349876
1700659383,441,96.03,23840,349873
1700659392,428,96.03,23844,349871
1700659398,438,96.03,23848,349866
1700659404,480,96.02,23850,349866
1700659410,462,96.02,23845,349867
1700659417,470,96.02,23846,349866
1700659423,478,96.02,23846,349867
1700659429,472,96.17,23846,349866
1700659435,476,96.16,23846,349866
1700659441,455,96.14,23847,349865
1700659447,464,96.13,23846,349865
1700659453,464,96.11,23845,349866
1700659459,466,96.1,23850,349861
1700659467,473,96.09,23852,349859
1700659473,476,95.93,23853,349857
1700659479,473,95.94,23858,349852
1700659485,451,95.94,23862,349849
1700659490,463,95.87,23861,349849
1700659497,433,95.88,23859,349850
1700659503,441,95.89,23859,349851
1700659509,470,95.98,23859,349851
1700659515,467,95.99,23860,349848
1700659520,459,95.99,23862,349848
1700659527,459,95.99,23858,349849
1700659533,466,95.99,23859,349850
1700659539,468,96.14,23860,349848
1700659545,467,96.13,23863,349844
1700659550,468,96.12,23859,349848
1700659557,429,96.11,23867,349840
1700659563,429,96.02,23869,349840
1700659569,476,96.1,23870,349837
1700659575,451,96.09,23866,349840
1700659580,462,96.08,23872,349834
1700659587,462,96.08,23872,349834
1700659593,468,96.07,23874,349831
1700659599,467,96.22,23872,349834
1700659605,468,96.2,23872,349835
1700659610,466,96.19,23874,349833
1700659617,465,96.17,23878,349829
1700659623,424,96.16,23873,349833
1700659629,435,96.21,23876,349830
1700659635,467,96.2,23877,349828
1700659640,463,96.18,23873,349831
1700659647,458,96.17,23876,349828
1700659653,468,96.15,23875,349828
1700659659,464,96.21,23879,349826
1700659665,466,96.19,23874,349829
1700659670,460,96.18,23879,349824
1700659677,466,96.16,23879,349824
1700659683,450,96.15,23877,349826
1700659689,322,96.21,23879,349774
1700659695,422,96.19,23880,349774
1700659700,428,96.17,23878,349775
1700659707,407,96.16,23878,349776
1700659713,461,96.15,23877,349776
1700659719,470,96.13,23877,349775
1700659725,465,96.12,23881,349771
1700659730,456,96.11,23877,349774
1700659737,465,96.1,23879,349773
1700659743,461,96.09,23879,349773
1700659749,464,96.08,23877,349775
1700659755,465,96.07,23880,349772
